Date/Time, Zone, Temperature A, Temperature B, Damper, Aeration Direction, Blower Speed, Biofilter Temperature, Exhaust Temperature, Capped
02/14/2019 11:25:56, 25, 12.41408, 11.1751, 100, 1, 25, 95, 85, No
02/14/2019 12:25:58, 25, 11.88071, 11.38344, 88.33334, 1, 25, 95, 85, No
02/14/2019 13:25:58, 25, 11.95293, 11.61402, 30, 1, 25, 95, 85, No
02/14/2019 14:25:58, 25, 11.96405, 11.79737, 30, 1, 25, 95, 85, No
02/14/2019 15:26:00, 25, 12.05294, 11.91682, 30, 1, 25, 95, 85, No
02/14/2019 16:26:02, 25, 12.1335, 12.06127, 30, 1, 25, 95, 85, No
02/14/2019 17:26:09, 25, 12.12795, 12.17517, 30, 1, 25, 95, 85, No
02/14/2019 18:26:17, 25, 12.18906, 12.27241, 30, 1, 25, 95, 85, No
02/14/2019 19:26:23, 25, 12.3363, 12.39464, 30, 1, 25, 95, 85, No
02/14/2019 20:26:25, 25, 12.44464, 12.47242, 30, 1, 25, 95, 85, No
02/14/2019 21:26:31, 25, 12.51409, 12.59743, 30, 1, 25, 95, 85, No
02/14/2019 22:26:32, 25, 12.56965, 12.70855, 30, 1, 25, 95, 85, No
02/14/2019 23:26:32, 25, 12.6891, 12.79745, 30, 1, 25, 95, 85, No
02/15/2019 00:26:33, 25, 12.76411, 12.90301, 30, 1, 25, 95, 85, No
02/15/2019 01:26:35, 25, 12.89468, 13.11691, 30, 1, 25, 95, 85, No
02/15/2019 02:26:38, 25, 12.95024, 13.16136, 30, 1, 25, 95, 85, No
02/15/2019 03:26:42, 25, 13.03913, 13.29193, 30, 1, 25, 95, 85, No
02/15/2019 04:26:43, 25, 13.11692, 13.36138, 30, 1, 25, 95, 85, No
02/15/2019 05:26:46, 25, 13.24748, 13.48361, 30, 1, 25, 95, 85, No
02/15/2019 06:26:52, 25, 13.38916, 13.65307, 30, 1, 25, 95, 85, No
02/15/2019 07:26:53, 25, 13.44472, 13.70029, 30, 1, 25, 95, 85, No
02/15/2019 08:26:57, 25, 13.60862, 13.85309, 30, 1, 25, 95, 85, No
02/15/2019 09:26:59, 25, 13.70585, 13.92254, 30, 1, 25, 95, 85, No
02/15/2019 10:27:07, 25, 13.86142, 14.09477, 30, 1, 25, 95, 85, No
02/15/2019 11:27:09, 25, 13.97532, 14.21978, 30, 1, 25, 95, 85, No
02/15/2019 12:27:12, 25, 14.10033, 14.3559, 30, 1, 25, 95, 85, No
02/15/2019 13:27:20, 25, 14.22534, 14.42258, 70.83334, 1, 25, 95, 85, No
02/15/2019 14:27:23, 25, 14.38368, 14.56981, 100, 1, 25, 95, 85, No
02/15/2019 15:27:31, 25, 14.56148, 14.67815, 100, 1, 25, 95, 85, No
02/15/2019 16:27:34, 25, 14.70315, 14.87261, 100, 1, 25, 95, 85, No
02/15/2019 17:27:39, 25, 14.94484, 14.93651, 100, 1, 25, 95, 85, No
02/15/2019 18:27:39, 25, 15.10597, 15.07263, 100, 1, 25, 95, 85, No
02/15/2019 19:27:45, 25, 15.2782, 15.17264, 100, 1, 25, 95, 85, No
02/15/2019 20:27:46, 25, 15.43655, 15.27264, 100, 1, 25, 95, 85, No
02/15/2019 21:27:47, 25, 15.63934, 15.38932, 100, 1, 25, 95, 85, No
02/15/2019 22:27:53, 25, 15.81436, 15.56433, 100, 1, 25, 95, 85, No
02/15/2019 23:27:59, 25, 15.94492, 15.65601, 100, 1, 25, 95, 85, No
02/16/2019 00:28:05, 25, 16.23661, 15.76157, 100, 1, 65, 105, 85, No
02/16/2019 01:28:10, 25, 16.36718, 15.86991, 100, 1, 65, 105, 85, No
02/16/2019 02:28:15, 25, 16.53663, 16.0227, 100, 1, 65, 105, 85, No
02/16/2019 03:28:21, 25, 16.63108, 16.14215, 100, 1, 65, 105, 85, No
02/16/2019 04:28:27, 25, 16.91166, 16.26717, 100, 1, 65, 105, 85, No
02/16/2019 05:28:33, 25, 17.16168, 16.35884, 100, 1, 65, 105, 85, No
02/16/2019 06:28:38, 25, 17.30892, 16.4783, 100, 1, 65, 105, 85, No
02/16/2019 07:28:43, 25, 17.41726, 16.54775, 100, 1, 65, 105, 85, No
02/16/2019 08:28:47, 25, 17.59505, 16.7311, 100, 1, 65, 105, 85, No
02/16/2019 09:28:50, 25, 12.53076, 16.14771, 65, 1, 65, 105, 85, No
02/16/2019 10:28:51, 25, 12.34463, 16.29495, 30, 1, 65, 105, 85, No
02/16/2019 11:28:55, 25, 12.41408, 16.43663, 30, 1, 65, 105, 85, No
02/16/2019 12:28:56, 25, 12.44464, 16.53108, 30, 1, 65, 105, 85, No
02/16/2019 13:29:01, 25, 12.47242, 16.61164, 30, 1, 65, 105, 85, No
02/16/2019 14:29:05, 25, 12.64188, 16.63942, 30, 1, 65, 105, 85, No
02/16/2019 15:29:11, 25, 12.71966, 16.70609, 30, 1, 65, 105, 85, No
02/16/2019 16:29:12, 25, 12.78078, 16.73387, 30, 1, 65, 105, 85, No
02/16/2019 17:29:21, 25, 12.90579, 16.79221, 30, 1, 65, 105, 85, No
02/16/2019 18:29:26, 25, 12.98635, 16.87277, 30, 1, 65, 105, 85, No
02/16/2019 19:29:30, 25, 13.08636, 16.92, 30, 1, 65, 105, 85, No
02/16/2019 20:29:35, 25, 13.16137, 16.99778, 30, 1, 65, 105, 85, No
02/16/2019 21:29:40, 25, 13.27804, 17.03112, 30, 1, 65, 105, 85, No
02/16/2019 22:29:43, 25, 13.35582, 17.09224, 30, 1, 65, 105, 85, No
02/16/2019 23:29:46, 25, 13.52528, 17.12557, 30, 1, 65, 105, 85, No
02/17/2019 00:29:51, 25, 13.55584, 17.2228, 30, 0, 85, 75, 85, No
02/17/2019 01:29:55, 25, 13.67529, 17.32003, 30, 0, 85, 75, 85, No
02/17/2019 02:30:00, 25, 13.78364, 17.38948, 30, 0, 85, 75, 85, No
02/17/2019 03:30:04, 25, 13.85864, 17.46449, 30, 0, 85, 75, 85, No
02/17/2019 04:30:09, 25, 13.9392, 17.44782, 30, 0, 85, 75, 85, No
02/17/2019 05:30:11, 25, 14.01421, 17.56172, 30, 0, 85, 75, 85, No
02/17/2019 06:30:15, 25, 14.13089, 17.59505, 30, 0, 85, 75, 85, No
02/17/2019 07:30:20, 25, 14.23089, 17.70895, 30, 0, 85, 75, 85, No
02/17/2019 08:30:26, 25, 14.35868, 17.7145, 30, 0, 85, 75, 85, No
02/17/2019 09:30:30, 25, 14.45036, 17.83674, 30, 0, 85, 75, 85, No
02/17/2019 10:30:34, 25, 14.55314, 17.87007, 30, 0, 85, 75, 85, No
02/17/2019 11:30:37, 25, 14.62259, 17.92841, 30, 0, 85, 75, 85, No
02/17/2019 12:30:45, 25, 14.80039, 18.00064, 30, 0, 85, 75, 85, No
02/17/2019 13:30:51, 25, 14.85039, 18.02286, 30, 0, 85, 75, 85, No
02/17/2019 14:30:58, 25, 14.93373, 18.0812, 30, 0, 85, 75, 85, No
02/17/2019 15:31:01, 25, 14.98929, 18.14787, 30, 0, 85, 75, 85, No
02/17/2019 16:31:06, 25, 15.08652, 18.27288, 30, 0, 85, 75, 85, No
02/17/2019 17:31:09, 25, 15.26987, 18.37567, 30, 0, 85, 75, 85, No
02/17/2019 18:31:16, 25, 15.31709, 18.38123, 30, 0, 85, 75, 85, No
02/17/2019 19:31:18, 25, 15.42266, 18.42289, 30, 0, 85, 75, 85, No
02/17/2019 20:31:23, 25, 15.48933, 18.50068, 30, 0, 85, 75, 85, No
02/17/2019 21:31:30, 25, 15.56989, 18.5618, 30, 0, 85, 75, 85, No
02/17/2019 22:31:33, 25, 15.64212, 18.64514, 30, 0, 85, 75, 85, No
02/17/2019 23:31:36, 25, 15.74768, 18.68959, 30, 0, 85, 75, 85, No
02/18/2019 00:31:39, 25, 15.8088, 18.7257, 30, 0, 25, 95, 85, No
02/18/2019 01:31:46, 25, 15.89769, 18.77292, 30, 0, 25, 95, 85, No
02/18/2019 02:31:51, 25, 16.00326, 18.83126, 30, 0, 25, 95, 85, No
02/18/2019 03:31:57, 25, 16.11993, 18.87293, 30, 0, 25, 95, 85, No
02/18/2019 04:32:00, 25, 16.19216, 18.96461, 30, 0, 25, 95, 85, No
02/18/2019 05:32:03, 25, 16.27272, 18.98683, 30, 0, 25, 95, 85, No
02/18/2019 06:32:06, 25, 16.31162, 19.07573, 30, 0, 25, 95, 85, No
02/18/2019 07:32:10, 25, 16.4144, 19.12295, 30, 0, 25, 95, 85, No
02/18/2019 08:32:15, 25, 16.57275, 19.25074, 30, 0, 25, 95, 85, No
02/18/2019 09:32:23, 25, 16.66998, 19.27574, 30, 0, 25, 95, 85, No
02/18/2019 10:32:25, 25, 16.71165, 19.31741, 30, 0, 25, 95, 85, No
02/18/2019 11:32:30, 25, 16.85055, 19.38131, 30, 0, 25, 95, 85, Yes
02/18/2019 12:32:31, 25, 16.93944, 19.42575, 30, 0, 25, 95, 85, Yes
02/18/2019 13:32:36, 25, 17.03945, 19.54243, 30, 0, 25, 95, 85, Yes
02/18/2019 14:32:39, 25, 17.13668, 19.59244, 30, 0, 25, 95, 85, Yes
02/18/2019 15:32:47, 25, 17.2478, 19.66744, 30, 0, 25, 95, 85, Yes
02/18/2019 16:32:57, 25, 17.34225, 19.71466, 30, 0, 25, 95, 85, Yes
02/18/2019 17:32:59, 25, 17.33114, 19.73133, 30, 0, 25, 95, 85, Yes
