Date/Time, Zone, Temperature A, Temperature B, Damper, Pre-Mister Temp, Exhaust Temp, Aeration Direction, Duct Pressure, VFD Speed, Biofilter Temp A, Biofilter Temp B, Amperage
12/30/2019 00:00:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 00:15:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 00:30:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 00:45:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 01:00:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 01:15:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 01:30:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 01:45:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 02:00:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 02:15:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 02:30:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 02:45:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 03:00:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 03:15:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 03:30:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 03:45:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 04:00:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 04:15:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 04:30:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 04:45:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 05:00:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 05:15:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 05:30:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 05:45:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 06:00:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 06:15:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 06:30:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 06:45:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 07:00:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 07:15:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 07:30:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 07:45:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 08:00:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 08:15:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 08:30:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 08:45:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 09:00:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 09:15:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 09:30:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 09:45:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 10:00:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 10:15:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 10:30:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 10:45:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 11:00:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 11:15:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 11:30:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 11:45:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 12:00:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 12:15:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 12:30:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 12:45:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 13:00:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 13:15:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 13:30:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 13:45:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 14:00:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 14:15:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 14:30:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 14:45:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
12/30/2019 15:00:00, 1, 70, 80, 45, 90, 100, 1, 6.50, 90, 85, 95, 16
